"price","number_of_reviews","regulation","Old_Town","Etobicoke","North_York","East_York","York","Scarborough","Entire_home_apt","Hotel_room","Private_room","Shared_room"
469,7,0,1,0,0,0,0,0,1,0,0,0
469,7,1,1,0,0,0,0,0,1,0,0,0
94,169,1,1,0,0,0,0,0,0,0,1,0
99,169,0,1,0,0,0,0,0,0,0,1,0
66,0,0,1,0,0,0,0,0,0,0,1,0
70,217,0,0,0,0,0,1,0,0,0,1,0
72,217,1,0,0,0,0,1,0,0,0,1,0
119,40,0,1,0,0,0,0,0,1,0,0,0
45,26,1,1,0,0,0,0,0,1,0,0,0
54,26,0,1,0,0,0,0,0,1,0,0,0
53,7,0,1,0,0,0,0,0,1,0,0,0
75,7,1,1,0,0,0,0,0,1,0,0,0
125,1,1,1,0,0,0,0,0,1,0,0,0
132,1,0,1,0,0,0,0,0,1,0,0,0
100,110,0,1,0,0,0,0,0,1,0,0,0
100,113,1,1,0,0,0,0,0,1,0,0,0
70,1,1,1,0,0,0,0,0,1,0,0,0
70,85,1,0,0,0,0,0,1,1,0,0,0
75,82,0,0,0,0,0,0,1,1,0,0,0
120,0,0,1,0,0,0,0,0,1,0,0,0
130,0,1,1,0,0,0,0,0,1,0,0,0
93,31,1,0,0,0,0,0,0,0,0,1,0
100,30,0,0,0,0,0,0,0,0,0,1,0
105,59,1,1,0,0,0,0,0,1,0,0,0
106,52,0,1,0,0,0,0,0,1,0,0,0
79,8,1,1,0,0,0,0,0,0,0,1,0
120,78,1,1,0,0,0,0,0,1,0,0,0
120,78,0,1,0,0,0,0,0,1,0,0,0
99,9,1,1,0,0,0,0,0,0,0,1,0
50,0,0,1,0,0,0,0,0,0,0,1,0
50,0,1,1,0,0,0,0,0,0,0,1,0
86,18,1,1,0,0,0,0,0,0,0,1,0
86,18,0,1,0,0,0,0,0,0,0,1,0
123,56,1,1,0,0,0,0,0,1,0,0,0
141,56,0,1,0,0,0,0,0,1,0,0,0
55,24,1,1,0,0,0,0,0,0,0,1,0
56,24,0,1,0,0,0,0,0,0,0,1,0
115,0,0,1,0,0,0,0,0,1,0,0,0
130,0,1,1,0,0,0,0,0,1,0,0,0
40,17,1,1,0,0,0,0,0,0,0,1,0
65,16,0,1,0,0,0,0,0,0,0,1,0
85,11,0,1,0,0,0,0,0,0,0,1,0
79,68,0,1,0,0,0,0,0,0,0,1,0
121,56,1,1,0,0,0,0,0,1,0,0,0
150,54,0,1,0,0,0,0,0,1,0,0,0
60,11,1,1,0,0,0,0,0,0,0,1,0
149,273,0,1,0,0,0,0,0,1,0,0,0
149,273,1,1,0,0,0,0,0,1,0,0,0
108,29,1,1,0,0,0,0,0,1,0,0,0
108,29,0,1,0,0,0,0,0,1,0,0,0
120,6,0,1,0,0,0,0,0,1,0,0,0
120,6,1,1,0,0,0,0,0,1,0,0,0
130,24,1,1,0,0,0,0,0,1,0,0,0
165,24,0,1,0,0,0,0,0,1,0,0,0
62,88,1,0,0,0,0,1,0,0,0,1,0
67,88,0,0,0,0,0,1,0,0,0,1,0
209,122,0,1,0,0,0,0,0,1,0,0,0
232,125,1,1,0,0,0,0,0,1,0,0,0
175,18,1,1,0,0,0,0,0,1,0,0,0
175,18,0,1,0,0,0,0,0,1,0,0,0
160,6,0,1,0,0,0,0,0,1,0,0,0
65,12,0,1,0,0,0,0,0,1,0,0,0
66,12,1,1,0,0,0,0,0,1,0,0,0
105,37,0,1,0,0,0,0,0,1,0,0,0
105,39,1,1,0,0,0,0,0,1,0,0,0
125,78,1,1,0,0,0,0,0,1,0,0,0
125,78,0,1,0,0,0,0,0,1,0,0,0
89,100,1,0,0,0,0,0,0,1,0,0,0
99,100,0,0,0,0,0,0,0,1,0,0,0
60,144,0,1,0,0,0,0,0,0,0,1,0
58,10,1,1,0,0,0,0,0,1,0,0,0
61,9,0,1,0,0,0,0,0,1,0,0,0
180,5,0,1,0,0,0,0,0,1,0,0,0
120,7,0,1,0,0,0,0,0,1,0,0,0
120,7,1,1,0,0,0,0,0,1,0,0,0
81,27,1,1,0,0,0,0,0,0,0,1,0
86,27,0,1,0,0,0,0,0,0,0,1,0
80,36,0,1,0,0,0,0,0,1,0,0,0
80,37,1,1,0,0,0,0,0,1,0,0,0
199,54,0,1,0,0,0,0,0,1,0,0,0
80,16,0,0,0,1,0,0,0,0,0,1,0
80,0,1,0,0,0,0,0,0,1,0,0,0
80,0,0,0,0,0,0,0,1,1,0,0,0
70,24,0,0,0,0,0,1,0,1,0,0,0
70,25,1,0,0,0,0,1,0,1,0,0,0
199,62,1,1,0,0,0,0,0,1,0,0,0
199,62,0,1,0,0,0,0,0,1,0,0,0
85,55,1,1,0,0,0,0,0,1,0,0,0
135,106,1,1,0,0,0,0,0,1,0,0,0
75,17,0,0,0,0,0,0,1,1,0,0,0
79,20,1,0,0,0,0,0,1,1,0,0,0
250,17,1,1,0,0,0,0,0,1,0,0,0
150,36,0,1,0,0,0,0,0,1,0,0,0
150,37,1,1,0,0,0,0,0,1,0,0,0
60,28,1,1,0,0,0,0,0,0,0,1,0
85,28,0,1,0,0,0,0,0,0,0,1,0
80,26,1,1,0,0,0,0,0,0,0,1,0
220,56,1,1,0,0,0,0,0,1,0,0,0
